"","modGenes","module","colourRGB"
"1","AARA000001","grey","#BEBEBE"
"2","AARA000005","salmon","#FA8072"
"3","AARA000006","salmon","#FA8072"
"4","AARA000007","grey","#BEBEBE"
"5","AARA000008","salmon","#FA8072"
"6","AARA000009","grey","#BEBEBE"
"7","AARA000010","salmon","#FA8072"
"8","AARA000011","grey","#BEBEBE"
"9","AARA000012","salmon","#FA8072"
"10","AARA000013","salmon","#FA8072"
"11","AARA000017","grey","#BEBEBE"
"12","AARA000021","brown","#A52A2A"
"13","AARA000022","darkturquoise","#00CED1"
"14","AARA000024","brown","#A52A2A"
"15","AARA000025","brown","#A52A2A"
"16","AARA000029","brown","#A52A2A"
"17","AARA000030","orange","#FFA500"
"18","AARA000031","salmon","#FA8072"
"19","AARA000032","brown","#A52A2A"
"20","AARA000033","midnightblue","#191970"
"21","AARA000034","greenyellow","#ADFF2F"
"22","AARA000036","salmon","#FA8072"
"23","AARA000037","brown","#A52A2A"
"24","AARA000040","salmon","#FA8072"
"25","AARA000041","grey","#BEBEBE"
"26","AARA000042","grey","#BEBEBE"
"27","AARA000043","salmon","#FA8072"
"28","AARA000044","brown","#A52A2A"
"29","AARA000045","salmon","#FA8072"
"30","AARA000048","salmon","#FA8072"
"31","AARA000050","salmon","#FA8072"
"32","AARA000051","salmon","#FA8072"
"33","AARA000052","salmon","#FA8072"
"34","AARA000054","brown","#A52A2A"
"35","AARA000055","salmon","#FA8072"
"36","AARA000056","salmon","#FA8072"
"37","AARA000057","brown","#A52A2A"
"38","AARA000058","salmon","#FA8072"
"39","AARA000059","purple","#A020F0"
"40","AARA000060","grey","#BEBEBE"
"41","AARA000061","grey","#BEBEBE"
"42","AARA000062","greenyellow","#ADFF2F"
"43","AARA000063","salmon","#FA8072"
"44","AARA000064","salmon","#FA8072"
"45","AARA000065","brown","#A52A2A"
"46","AARA000067","midnightblue","#191970"
"47","AARA000068","salmon","#FA8072"
"48","AARA000070","brown","#A52A2A"
"49","AARA000071","brown","#A52A2A"
"50","AARA000072","brown","#A52A2A"
"51","AARA000075","darkorange","#FF8C00"
"52","AARA000078","grey","#BEBEBE"
"53","AARA000079","salmon","#FA8072"
"54","AARA000080","salmon","#FA8072"
"55","AARA000082","grey","#BEBEBE"
"56","AARA000083","grey","#BEBEBE"
"57","AARA000084","grey","#BEBEBE"
"58","AARA000085","salmon","#FA8072"
"59","AARA000090","orange","#FFA500"
"60","AARA000091","brown","#A52A2A"
"61","AARA000092","ivory","#FFFFF0"
"62","AARA000093","midnightblue","#191970"
"63","AARA000095","black","#000000"
"64","AARA000096","grey","#BEBEBE"
"65","AARA000097","grey","#BEBEBE"
"66","AARA000098","paleturquoise","#AFEEEE"
"67","AARA000099","darkturquoise","#00CED1"
"68","AARA000100","midnightblue","#191970"
"69","AARA000101","darkorange","#FF8C00"
"70","AARA000102","grey","#BEBEBE"
"71","AARA000104","brown","#A52A2A"
"72","AARA000105","salmon","#FA8072"
"73","AARA000107","grey","#BEBEBE"
"74","AARA000110","salmon","#FA8072"
"75","AARA000111","salmon","#FA8072"
"76","AARA000113","orange","#FFA500"
"77","AARA000114","darkorange","#FF8C00"
"78","AARA000115","darkturquoise","#00CED1"
"79","AARA000116","paleturquoise","#AFEEEE"
"80","AARA000118","grey","#BEBEBE"
"81","AARA000121","grey","#BEBEBE"
"82","AARA000122","grey","#BEBEBE"
"83","AARA000123","brown","#A52A2A"
"84","AARA000124","purple","#A020F0"
"85","AARA000125","midnightblue","#191970"
"86","AARA000126","salmon","#FA8072"
"87","AARA000129","orange","#FFA500"
