Geneid,BD,BD,BD,BP,BP,BP,DA,DA,DA,DD,DD,DD,DP,DP,DP
AGAP007731,1398,1031,904,896,856,956,389,1105,251,1261,1194,939,625,553,815
AGAP007732,1792,2041,1157,1719,1712,1703,563,1647,451,1354,1577,1624,1240,1201,1789
AGAP007733,5,11,12,13,9,6,5,8,1,8,16,10,13,3,7
AGAP007734,12,17,17,13,10,10,2,14,8,12,10,4,8,3,8
AGAP007735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP007736,1138,1142,1105,1379,1104,1134,680,943,347,847,1133,715,499,416,475
AGAP007737,2730,2894,2732,3701,3920,4228,1284,2907,496,2876,3829,2316,2569,2381,3565
AGAP007738,134,168,281,470,378,268,103,165,53,160,217,203,150,185,211
AGAP007739,540,477,388,412,414,353,261,478,125,559,547,433,248,208,276
AGAP007740,23462,22055,18685,18694,19624,15813,11544,24091,4011,22414,21229,20348,10883,10050,13700
AGAP007741,130,131,57,61,69,103,49,85,29,109,80,63,57,33,48
AGAP007742,987,865,742,839,754,842,588,1053,517,996,964,824,502,438,539
AGAP007743,2548,2803,2240,1640,1739,2377,1260,2735,516,3081,4259,2684,1287,1241,1468
AGAP029704,2057,2209,1749,2464,1965,1839,1952,2322,1859,1892,2018,1668,1192,927,1141
AGAP029703,9,4,0,0,5,3,2,2,0,4,5,4,0,2,4
AGAP007746,8,4,9,8,2,2,13,3,1,8,7,3,3,3,2
AGAP007745,21607,15994,11677,21513,23351,20339,9312,8685,5267,7028,9364,4600,12103,7000,9960
AGAP007747,10142,7522,6404,11312,10084,7649,5328,3447,2186,3820,4995,2240,4945,2929,5299
AGAP013766,5,1,1,8,3,4,5,3,1,15,5,0,2,2,2
AGAP007748,0,4,13,5,1,2,0,3,0,5,2,0,1,0,1
AGAP007749,1067,981,784,860,845,877,650,963,322,1261,1458,834,527,449,644
AGAP007751,8945,10732,8087,11398,8631,7685,15742,19081,13538,9472,19385,13687,3819,3081,4101
AGAP013770,372,195,265,317,319,289,95,265,71,174,180,243,194,184,163
AGAP007752,2083,1309,1249,2159,2284,1514,1746,2622,876,778,2294,2709,1174,1076,842
AGAP007753,1515,1165,1066,1125,1014,1033,613,1426,306,1330,1513,1453,617,522,807
AGAP007754,5185,3799,4463,6261,6084,4729,2858,5611,3644,3590,3621,4610,3748,1969,2782
AGAP007755,108,109,73,74,111,104,6,53,8,36,27,72,99,55,103
AGAP007756,9,11,4,4,5,6,1,4,1,10,2,4,1,3,0
AGAP007757,8,2,5,6,1,3,0,3,0,5,2,1,0,1,4
AGAP028028,204,210,267,435,282,367,130,280,93,360,552,458,151,292,232
AGAP028015,342,240,165,117,114,324,59,235,26,325,138,78,39,211,65
AGAP028064,667,383,279,303,262,450,139,404,176,435,376,300,123,246,188
AGAP007759,660,593,618,655,555,627,368,508,234,380,476,380,272,375,321
AGAP007760,833,1025,973,939,1034,619,669,869,417,803,872,685,602,518,542
AGAP007761,1550,1756,1318,1149,1148,1354,753,1385,501,1233,1266,1027,789,612,828
