"","modGenes","module","colourRGB"
"1","AGAP000002","lightyellow","#FFFFE0"
"2","AGAP000005","lightyellow","#FFFFE0"
"3","AGAP000007","lightyellow","#FFFFE0"
"4","AGAP000008","honeydew1","#F0FFF0"
"5","AGAP000009","lightgreen","#90EE90"
"6","AGAP000010","blue","#0000FF"
"7","AGAP000011","blue","#0000FF"
"8","AGAP000013","blue","#0000FF"
"9","AGAP000014","plum1","#FFBBFF"
"10","AGAP000015","black","#000000"
"11","AGAP000016","blue","#0000FF"
"12","AGAP000017","lightyellow","#FFFFE0"
"13","AGAP000018","honeydew1","#F0FFF0"
"14","AGAP000019","blue","#0000FF"
"15","AGAP000021","blue","#0000FF"
"16","AGAP000022","blue","#0000FF"
"17","AGAP000023","blue","#0000FF"
"18","AGAP000025","honeydew1","#F0FFF0"
"19","AGAP000028","lightyellow","#FFFFE0"
"20","AGAP000029","orangered4","#8B2500"
"21","AGAP000032","darkorange2","#EE7600"
"22","AGAP000033","black","#000000"
"23","AGAP000035","blue","#0000FF"
"24","AGAP000037","lightgreen","#90EE90"
"25","AGAP000038","lightgreen","#90EE90"
"26","AGAP000039","darkorange2","#EE7600"
"27","AGAP000040","blue","#0000FF"
"28","AGAP000041","lightgreen","#90EE90"
"29","AGAP000042","blue","#0000FF"
"30","AGAP000043","lightyellow","#FFFFE0"
"31","AGAP000044","orangered4","#8B2500"
"32","AGAP000045","lightgreen","#90EE90"
"33","AGAP000046","blue","#0000FF"
"34","AGAP000047","darkorange2","#EE7600"
"35","AGAP000048","lightyellow","#FFFFE0"
"36","AGAP000049","black","#000000"
"37","AGAP000051","grey","#BEBEBE"
"38","AGAP000053","orangered4","#8B2500"
"39","AGAP000056","darkred","#8B0000"
"40","AGAP000057","grey","#BEBEBE"
"41","AGAP000058","lightyellow","#FFFFE0"
"42","AGAP000061","grey","#BEBEBE"
"43","AGAP000062","lightyellow","#FFFFE0"
"44","AGAP000063","lightgreen","#90EE90"
"45","AGAP000064","orangered4","#8B2500"
"46","AGAP000066","black","#000000"
"47","AGAP000067","grey","#BEBEBE"
"48","AGAP000068","lightgreen","#90EE90"
"49","AGAP000070","orangered4","#8B2500"
"50","AGAP000073","black","#000000"
"51","AGAP000075","blue","#0000FF"
"52","AGAP000076","blue","#0000FF"
"53","AGAP000078","blue","#0000FF"
"54","AGAP000079","black","#000000"
"55","AGAP000080","black","#000000"
"56","AGAP000081","honeydew1","#F0FFF0"
"57","AGAP000085","grey","#BEBEBE"
"58","AGAP000090","black","#000000"
"59","AGAP000091","blue","#0000FF"
"60","AGAP000092","blue","#0000FF"
"61","AGAP000093","lightgreen","#90EE90"
"62","AGAP000094","blue","#0000FF"
"63","AGAP000095","orangered4","#8B2500"
"64","AGAP000096","bisque4","#8B7D6B"
"65","AGAP000097","black","#000000"
"66","AGAP000098","blue","#0000FF"
"67","AGAP000099","blue","#0000FF"
"68","AGAP000100","darkorange2","#EE7600"
"69","AGAP000102","blue","#0000FF"
"70","AGAP000104","blue","#0000FF"
"71","AGAP000105","blue","#0000FF"
"72","AGAP000106","blue","#0000FF"
"73","AGAP000107","orangered4","#8B2500"
"74","AGAP000108","grey","#BEBEBE"
"75","AGAP000109","black","#000000"
"76","AGAP000112","lightyellow","#FFFFE0"
"77","AGAP000113","cyan","#00FFFF"
"78","AGAP000114","orangered4","#8B2500"
"79","AGAP000115","lightyellow","#FFFFE0"
"80","AGAP000116","blue","#0000FF"
"81","AGAP000117","blue","#0000FF"
"82","AGAP000118","blue","#0000FF"
"83","AGAP000119","blue","#0000FF"
"84","AGAP000120","blue","#0000FF"
"85","AGAP000121","lightgreen","#90EE90"
"86","AGAP000123","honeydew1","#F0FFF0"
"87","AGAP000124","lightyellow","#FFFFE0"
"88","AGAP000126","blue","#0000FF"
"89","AGAP000127","blue","#0000FF"
"90","AGAP000128","grey","#BEBEBE"
"91","AGAP000129","blue","#0000FF"
"92","AGAP000131","lightgreen","#90EE90"
"93","AGAP000132","orangered4","#8B2500"
"94","AGAP000133","honeydew1","#F0FFF0"
"95","AGAP000136","blue","#0000FF"
"96","AGAP000137","blue","#0000FF"
"97","AGAP000138","lightgreen","#90EE90"
"98","AGAP000139","blue","#0000FF"
"99","AGAP000140","darkred","#8B0000"
"100","AGAP000141","orangered4","#8B2500"
"101","AGAP000142","lightyellow","#FFFFE0"
"102","AGAP000143","orangered4","#8B2500"
"103","AGAP000144","black","#000000"
"104","AGAP000145","black","#000000"
"105","AGAP000146","black","#000000"
"106","AGAP000147","blue","#0000FF"
"107","AGAP000149","blue","#0000FF"
"108","AGAP000150","darkorange2","#EE7600"
"109","AGAP000151","lightgreen","#90EE90"
"110","AGAP000152","darkorange2","#EE7600"
"111","AGAP000153","blue","#0000FF"
"112","AGAP000154","blue","#0000FF"
"113","AGAP000155","lightcyan1","#E0FFFF"
"114","AGAP000156","lightgreen","#90EE90"
"115","AGAP000158","honeydew1","#F0FFF0"
"116","AGAP000159","honeydew1","#F0FFF0"
"117","AGAP000161","blue","#0000FF"
"118","AGAP000162","blue","#0000FF"
"119","AGAP000163","blue","#0000FF"
"120","AGAP000164","blue","#0000FF"
"121","AGAP000165","honeydew1","#F0FFF0"
"122","AGAP000166","blue","#0000FF"
"123","AGAP000167","honeydew1","#F0FFF0"
"124","AGAP000168","blue","#0000FF"
"125","AGAP000169","darkorange","#FF8C00"
"126","AGAP000170","blue","#0000FF"
"127","AGAP000171","blue","#0000FF"
"128","AGAP000173","darkorange2","#EE7600"
"129","AGAP000178","orangered4","#8B2500"
"130","AGAP000179","blue","#0000FF"
"131","AGAP000180","blue","#0000FF"
"132","AGAP000181","honeydew1","#F0FFF0"
"133","AGAP000182","blue","#0000FF"
"134","AGAP000183","blue","#0000FF"
"135","AGAP000184","blue","#0000FF"
"136","AGAP000185","lightyellow","#FFFFE0"
"137","AGAP000186","black","#000000"
"138","AGAP000187","blue","#0000FF"
"139","AGAP000188","darkorange2","#EE7600"
"140","AGAP000189","blue","#0000FF"
"141","AGAP000190","black","#000000"
"142","AGAP000191","orangered4","#8B2500"
"143","AGAP000192","blue","#0000FF"
"144","AGAP000194","grey","#BEBEBE"
"145","AGAP000195","blue","#0000FF"
"146","AGAP000196","blue","#0000FF"
"147","AGAP000198","blue","#0000FF"
"148","AGAP000199","blue","#0000FF"
"149","AGAP000200","darkorange2","#EE7600"
"150","AGAP000201","darkorange","#FF8C00"
"151","AGAP000202","grey","#BEBEBE"
"152","AGAP000203","blue","#0000FF"
"153","AGAP000204","darkorange2","#EE7600"
"154","AGAP000205","blue","#0000FF"
"155","AGAP000209","darkorange2","#EE7600"
"156","AGAP000210","black","#000000"
"157","AGAP000211","black","#000000"
"158","AGAP000213","blue","#0000FF"
"159","AGAP000214","blue","#0000FF"
"160","AGAP000215","grey","#BEBEBE"
"161","AGAP000217","lightyellow","#FFFFE0"
"162","AGAP000218","darkorange2","#EE7600"
"163","AGAP000219","grey","#BEBEBE"
"164","AGAP000220","mediumpurple3","#8968CD"
"165","AGAP000222","black","#000000"
"166","AGAP000223","lightyellow","#FFFFE0"
"167","AGAP000225","darkorange2","#EE7600"
"168","AGAP000228","lightgreen","#90EE90"
"169","AGAP000232","lightgreen","#90EE90"
"170","AGAP000233","blue","#0000FF"
"171","AGAP000234","orangered4","#8B2500"
"172","AGAP000235","lightcyan1","#E0FFFF"
"173","AGAP000236","blue","#0000FF"
"174","AGAP000237","grey","#BEBEBE"
"175","AGAP000238","honeydew1","#F0FFF0"
"176","AGAP000239","honeydew1","#F0FFF0"
"177","AGAP000240","blue","#0000FF"
"178","AGAP000241","black","#000000"
"179","AGAP000242","honeydew1","#F0FFF0"
