Geneid,Gene Type,Product Description
AGAP000002,protein coding gene,unspecified product
AGAP000005,protein coding gene,high mobility group protein B1
AGAP000007,protein coding gene,contactin-like putative cell adhesion molecule
AGAP000008,protein coding gene,DnaJ (Hsp40) homolog subfamily A member 1
AGAP000009,protein coding gene,syntaxin-binding protein
AGAP000010,protein coding gene,ethanolamine kinase
AGAP000011,protein coding gene,Branched-chain-amino-acid aminotransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEI9]
AGAP000012,protein coding gene,tyrosyl-tRNA synthetase
AGAP000013,protein coding gene,unspecified product
AGAP000014,protein coding gene,DUF4149 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8C2]
AGAP000015,protein coding gene,proto-oncogene tyrosine-protein kinase ROS
AGAP000016,protein coding gene,Class B Scavenger Receptor (CD36 domain).
AGAP000017,protein coding gene,unspecified product
AGAP000018,protein coding gene,"phosphatidylinositol-4,5-bisphosphate 3-kinase"
AGAP000019,protein coding gene,chaoptin
AGAP000021,protein coding gene,unspecified product
AGAP000022,protein coding gene,amino acid transporter protein
AGAP000023,protein coding gene,unspecified product
AGAP000025,protein coding gene,unspecified product
AGAP000028,protein coding gene,calcium/calmodulin-dependent protein kinase (CaM kinase) II
AGAP000029,protein coding gene,E1A/CREB-binding protein
AGAP000032,protein coding gene,Integrin_alpha2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G7X5]
AGAP000033,protein coding gene,Protein retinal degeneration B
AGAP000035,protein coding gene,unspecified product
AGAP000037,protein coding gene,unspecified product
AGAP000038,protein coding gene,gamma-aminobutyric acid receptor subunit beta
AGAP000039,protein coding gene,unspecified product
AGAP000040,protein coding gene,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QEL2]
AGAP000041,protein coding gene,unspecified product
AGAP000042,protein coding gene,Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1S4G7P2]
AGAP000043,protein coding gene,tousled-like kinase
AGAP000044,protein coding gene,thioredoxin domain-containing protein
AGAP000045,protein coding gene,G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7PRZ8]
AGAP000046,protein coding gene,unspecified product
