Gene ID,Product Description,Gene Type
AARA000001,unspecified product,protein coding gene
AARA000002,unspecified product,protein coding gene
AARA000004,unspecified product,protein coding gene
AARA000005,PAN2-PAN3 deadenylation complex catalytic subunit PAN2 [Source:UniProtKB/TrEMBL;Acc:A0A182HFK7],protein coding gene
AARA000006,unspecified product,protein coding gene
AARA000007,unspecified product,protein coding gene
AARA000008,unspecified product,protein coding gene
AARA000009,Developmentally regulated GTP-binding protein [Source:Projected from Anopheles gambiae (AGAP010624) VB Community Annotation],protein coding gene
AARA000010,unspecified product,protein coding gene
AARA000011,Era G-protein-like [Source:Projected from Anopheles gambiae (AGAP010622) VB Community Annotation],protein coding gene
AARA000012,Transporter [Source:UniProtKB/TrEMBL;Acc:A0A182HFL4],protein coding gene
AARA000013,unspecified product,protein coding gene
AARA000014,unspecified product,protein coding gene
AARA000015,Early trypsin [Source:Projected from Anopheles gambiae (AGAP010620) VB Community Annotation],protein coding gene
AARA000016,eupolytin [Source:Projected from Anopheles gambiae (AGAP010619) VB Community Annotation],protein coding gene
AARA000017,unspecified product,protein coding gene
AARA000018,unspecified product,protein coding gene
AARA000019,unspecified product,protein coding gene
AARA000020,unspecified product,protein coding gene
AARA000021,unspecified product,protein coding gene
AARA000022,unspecified product,protein coding gene
AARA000024,unspecified product,protein coding gene
AARA000025,unspecified product,protein coding gene
AARA000028,unspecified product,protein coding gene
AARA000029,elongation factor 1-beta [Source:Projected from Anopheles gambiae (AGAP010612) VB Community Annotation],protein coding gene
AARA000030,unspecified product,protein coding gene
AARA000031,NHLRC2 protein [Source:Projected from Anopheles gambiae (AGAP010610) VB Community Annotation],protein coding gene
AARA000032,Clathrin light chain [Source:UniProtKB/TrEMBL;Acc:A0A182HFN4],protein coding gene
AARA000033,unspecified product,protein coding gene
AARA000034,mitochondrial import inner membrane translocase subunit Tim8 B [Source:Projected from Anopheles gambiae (AGAP010606) VB Community Annotation],protein coding gene
AARA000036,unspecified product,protein coding gene
AARA000037,Insulin-like peptide 2 precursor [Source:Projected from Anopheles gambiae (AGAP010600) VB Community Annotation],protein coding gene
AARA000040,Tetraspanin [Source:UniProtKB/TrEMBL;Acc:A0A182HFP2],protein coding gene
AARA000041,unspecified product,protein coding gene
AARA000042,Alkaline phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A182HFP4],protein coding gene
AARA000043,unspecified product,protein coding gene
AARA000044,Protein CWC15 homolog A [Source:Projected from Anopheles gambiae (AGAP010594) VB Community Annotation],protein coding gene
AARA000045,unspecified product,protein coding gene
AARA000046,40S ribosomal protein S7,protein coding gene
AARA000047,40S ribosomal protein S20,protein coding gene
AARA000048,unspecified product,protein coding gene
AARA000049,"39S ribosomal protein L30, mitochondrial [Source:Projected from Anopheles gambiae (AGAP010590) VB Community Annotation]",protein coding gene
AARA000050,guanine nucleotide-binding protein subunit gamma [Source:Projected from Anopheles gambiae (AGAP010589) VB Community Annotation],protein coding gene
AARA000051,Chaperonin containing TCP1 subunit [Source:Projected from Anopheles gambiae (AGAP010588) VB Community Annotation],protein coding gene
AARA000052,tetratricopeptide repeat protein 7B [Source:Projected from Anopheles gambiae (AGAP010587) VB Community Annotation],protein coding gene
AARA000053,aminoacyl tRNA synthase complex-interacting multifunctional protein [Source:Projected from Anopheles gambiae (AGAP010586) VB Community Annotation],protein coding gene
AARA000054,unspecified product,protein coding gene
AARA000055,ATP-binding cassette transporter (ABC transporter) family E member [Source:Projected from Anopheles gambiae (AGAP029588) VB Community Annotation],protein coding gene
AARA000056,unspecified product,protein coding gene
AARA000057,Mitochondrial genome maintenance exonuclease 1 [Source:UniProtKB/TrEMBL;Acc:A0A182HFQ9],protein coding gene
AARA000058,unspecified product,protein coding gene
AARA000059,pre-rRNA-processing protein IPI1 [Source:Projected from Anopheles gambiae (AGAP010574) VB Community Annotation],protein coding gene
AARA000060,unspecified product,protein coding gene
AARA000061,protein LTV1 [Source:Projected from Anopheles gambiae (AGAP010572) VB Community Annotation],protein coding gene
AARA000062,unspecified product,protein coding gene
AARA000063,"Lipoyl synthase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182HFR5]",protein coding gene
AARA000064,"solute carrier family 7 (cationic amino acid transporter), member [Source:Projected from Anopheles gambiae (AGAP010567) VB Community Annotation]",protein coding gene
AARA000065,ORM1-like [Source:Projected from Anopheles gambiae (AGAP010566) VB Community Annotation],protein coding gene
AARA000067,pur-alpha [Source:Projected from Anopheles gambiae (AGAP010564) VB Community Annotation],protein coding gene
AARA000068,unspecified product,protein coding gene
AARA000070,transcription initiation factor TFIIH subunit [Source:Projected from Anopheles gambiae (AGAP010559) VB Community Annotation],protein coding gene
AARA000071,ER membrane protein complex subunit 4 [Source:UniProtKB/TrEMBL;Acc:A0A182HFS3],protein coding gene
AARA000072,B-cell receptor-associated protein [Source:Projected from Anopheles gambiae (AGAP010557) VB Community Annotation],protein coding gene
AARA000075,unspecified product,protein coding gene
AARA000078,"mimitin, mitochondrial [Source:Projected from Anopheles gambiae (AGAP010552) VB Community Annotation]",protein coding gene
AARA000079,unspecified product,protein coding gene
AARA000080,venom allergen [Source:Projected from Anopheles gambiae (AGAP010550) VB Community Annotation],protein coding gene
AARA000082,unspecified product,protein coding gene
AARA000083,CLIP-domain serine protease [Source:Projected from Anopheles gambiae (AGAP028728) UniProtKB/TrEMBL;Acc:A0A1S4HFB9],protein coding gene
AARA000084,cell cycle arrest protein BUB3 [Source:Projected from Anopheles gambiae (AGAP010544) VB Community Annotation],protein coding gene
AARA000085,Yellow-x [Source:Projected from Anopheles gambiae (AGAP010543) VB Community Annotation],protein coding gene
AARA000090,coiled-coil and C2 domain-containing protein 1-like [Source:Projected from Anopheles gambiae (AGAP010539) VB Community Annotation],protein coding gene
AARA000091,M-phase phosphoprotein [Source:Projected from Anopheles gambiae (AGAP010538) VB Community Annotation],protein coding gene
AARA000092,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182HFU4]",protein coding gene
AARA000093,nucleolar complex protein [Source:Projected from Anopheles gambiae (AGAP010536) VB Community Annotation],protein coding gene
AARA000094,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182HFU6]",protein coding gene
AARA000095,unspecified product,protein coding gene
AARA000096,fibrinogen-related protein [Source:Projected from Anopheles gambiae (AGAP010531) VB Community Annotation],protein coding gene
AARA000097,CLIP-domain serine protease [Source:Projected from Anopheles gambiae (AGAP010530) UniProtKB/TrEMBL;Acc:A0A1S4H4A2],protein coding gene
AARA000098,unspecified product,protein coding gene
AARA000099,kinesin-like protein unc-104 [Source:Projected from Anopheles gambiae (AGAP010519) VB Community Annotation],protein coding gene
AARA000100,unspecified product,protein coding gene
AARA000101,manganese-iron superoxide dismutase 1,protein coding gene
AARA000102,unspecified product,protein coding gene
AARA000103,pre-mRNA-splicing factor SYF2 [Source:Projected from Anopheles gambiae (AGAP010515) VB Community Annotation],protein coding gene
AARA000104,activator of 90 kDa heat shock protein ATPase [Source:Projected from Anopheles gambiae (AGAP010514) VB Community Annotation],protein coding gene
AARA000105,ionotropic receptor GLURIIe [Source:Projected from Anopheles gambiae (AGAP012447) VB Community Annotation],protein coding gene
AARA000106,unspecified product,protein coding gene
AARA000107,unspecified product,protein coding gene
AARA000110,unspecified product,protein coding gene
AARA000111,S1 motif domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HFW3],protein coding gene
AARA000113,Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182HFW5],protein coding gene
AARA000114,unspecified product,protein coding gene
AARA000115,unspecified product,protein coding gene
AARA000116,unspecified product,protein coding gene
AARA000118,unspecified product,protein coding gene
AARA000120,unspecified product,protein coding gene
AARA000121,unspecified product,protein coding gene
AARA000122,unspecified product,protein coding gene
AARA000123,unspecified product,protein coding gene
AARA000124,strawberry notch,protein coding gene
AARA000125,unspecified product,protein coding gene
AARA000126,unspecified product,protein coding gene
AARA000129,aubergine [Source:Projected from Anopheles gambiae (AGAP011204) VB Community Annotation],protein coding gene
AARA000130,unspecified product,protein coding gene
AARA000132,unspecified product,protein coding gene
AARA000133,hexokinase,protein coding gene
AARA000134,exosome complex component RRP4 [Source:Projected from Anopheles gambiae (AGAP011211) VB Community Annotation],protein coding gene
AARA000135,unspecified product,protein coding gene
AARA000139,Acyl-coenzyme A oxidase [Source:UniProtKB/TrEMBL;Acc:A0A182HFZ2],protein coding gene
AARA000140,heme peroxidase [Source:Projected from Anopheles gambiae (AGAP011216) VB Community Annotation],protein coding gene
AARA000141,unspecified product,protein coding gene
AARA000142,unspecified product,protein coding gene
AARA000143,unspecified product,protein coding gene
AARA000144,unspecified product,protein coding gene
AARA000145,unspecified product,protein coding gene
AARA000146,Borealin [Source:Projected from Anopheles gambiae (AGAP011220) VB Community Annotation],protein coding gene
AARA000147,CLIP-domain serine protease,protein coding gene
AARA000151,unspecified product,protein coding gene
AARA000152,Tartan [Source:Projected from Anopheles gambiae (AGAP011229) VB Community Annotation],protein coding gene
AARA000157,unspecified product,protein coding gene
AARA000158,unspecified product,protein coding gene
AARA000160,unspecified product,protein coding gene
AARA000162,unspecified product,protein coding gene
